Move,Speed,Accel,Runs Used,Motion Start Index (per used run),Lag Fine Samples (per used run),Lag Seconds (per used run),Max Corr (per used run),Energy_mean_J,Energy_mean_Wh,Energy_median_J,Energy_median_Wh,Energy_p80_J,Energy_p80_Wh,Energy_p90_J,Energy_p90_Wh,Energy_max_J,Energy_max_Wh
1,10,10,"2,3,4,5,6,7,8,9,10,11","0,0,0,0,0,0,0,0,0,0","0,-12,-1,-20,-18,-20,-18,-18,-12,-19","+0.0000,-0.0600,-0.0050,-0.1000,-0.0900,-0.1000,-0.0900,-0.0900,-0.0600,-0.0950","1.0000,0.8684,0.9058,0.8170,0.8892,0.6363,0.8164,0.8602,0.8378,0.8832",1098.117665,0.305033,1090.179163,0.302828,1116.417840,0.310116,1142.044663,0.317235,1154.339975,0.320650
2,10,20,"2,3,4,5,6,7,8,9,10,11","0,0,0,0,0,0,0,0,0,0","0,2,20,6,-1,10,13,0,0,15","+0.0000,+0.0100,+0.1000,+0.0300,-0.0050,+0.0500,+0.0650,+0.0000,+0.0000,+0.0750","1.0000,0.9253,0.7455,0.8682,0.9082,0.8865,0.8027,0.9282,0.9140,0.8395",1079.791766,0.299942,1073.515375,0.298199,1098.864915,0.305240,1117.334700,0.310371,1125.899913,0.312750
3,10,30,"2,3,4,5,6,7,8,9,10,11","0,0,0,0,0,0,0,0,0,0","0,0,-4,-3,0,-2,0,0,1,0","+0.0000,+0.0000,-0.0200,-0.0150,+0.0000,-0.0100,+0.0000,+0.0000,+0.0050,+0.0000","1.0000,0.9276,0.8928,0.9211,0.8841,0.9258,0.9289,0.9114,0.8573,0.8873",1070.198880,0.297277,1063.007538,0.295280,1087.668000,0.302130,1107.084438,0.307523,1118.316600,0.310644
4,10,40,"2,3,4,5,6,7,8,9,10,11","0,0,0,0,0,0,0,0,0,0","0,0,4,11,1,9,0,0,0,5","+0.0000,+0.0000,+0.0200,+0.0550,+0.0050,+0.0450,+0.0000,+0.0000,+0.0000,+0.0250","1.0000,0.8462,0.7271,0.7148,0.7291,0.7220,0.8334,0.8615,0.8729,0.7637",1070.157511,0.297266,1063.477662,0.295410,1086.125845,0.301702,1104.978223,0.306938,1121.002300,0.311390
5,10,50,"2,3,4,5,6,7,8,9,10,11","0,0,0,0,0,0,0,0,0,0","0,7,0,0,14,19,0,2,5,17","+0.0000,+0.0350,+0.0000,+0.0000,+0.0700,+0.0950,+0.0000,+0.0100,+0.0250,+0.0850","1.0000,0.7808,0.9023,0.7971,0.8454,0.8245,0.8839,0.8159,0.8872,0.7339",1059.044592,0.294179,1053.278712,0.292577,1076.260190,0.298961,1091.289510,0.303136,1102.254900,0.306182
6,10,60,"2,3,4,5,6,7,8,9,10,11","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,-4,0","+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-0.0200,+0.0000","1.0000,0.9386,0.7912,0.8120,0.9310,0.8723,0.7732,0.8940,0.5545,0.7794",1049.538480,0.291538,1044.305038,0.290085,1067.202310,0.296445,1082.262205,0.300628,1092.870100,0.303575
7,10,70,"2,3,4,5,6,7,8,9,10,11","0,0,0,0,0,0,0,0,0,0","0,0,0,0,-8,0,0,0,0,0","+0.0000,+0.0000,+0.0000,+0.0000,-0.0400,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000","1.0000,0.9673,0.9513,0.8520,0.8494,0.9122,0.9102,0.6838,0.9062,0.9475",1060.440686,0.294567,1055.912200,0.293309,1077.511965,0.299309,1092.960973,0.303600,1102.266900,0.306185
8,10,80,"2,3,4,5,6,7,8,9,10,11","0,0,0,0,0,0,0,0,0,0","0,0,6,3,8,10,6,6,0,0","+0.0000,+0.0000,+0.0300,+0.0150,+0.0400,+0.0500,+0.0300,+0.0300,+0.0000,+0.0000","1.0000,0.7896,0.7300,0.7399,0.7248,0.6817,0.5389,0.5915,0.9224,0.9474",1070.997985,0.297499,1066.048912,0.296125,1088.245025,0.302290,1104.015895,0.306671,1113.030300,0.309175
9,10,90,"2,3,4,5,6,7,8,9,10,11","0,0,0,0,0,0,0,0,0,0","0,0,12,0,0,0,12,0,16,9","+0.0000,+0.0000,+0.0600,+0.0000,+0.0000,+0.0000,+0.0600,+0.0000,+0.0800,+0.0450","1.0000,0.9382,0.6960,0.7643,0.9506,0.8968,0.7097,0.8605,0.6979,0.7261",1060.538265,0.294594,1056.242488,0.293401,1076.695805,0.299082,1092.752460,0.303542,1101.799600,0.306055
10,10,100,"2,3,4,5,6,7,8,9,10,11","0,0,0,0,0,0,0,0,0,0","0,-14,0,0,0,-2,0,0,0,0","+0.0000,-0.0700,+0.0000,+0.0000,+0.0000,-0.0100,+0.0000,+0.0000,+0.0000,+0.0000","1.0000,0.7804,0.8574,0.8000,0.8853,0.8386,0.8963,0.9055,0.8781,0.8785",1060.374734,0.294549,1055.314763,0.293143,1077.866260,0.299407,1091.627845,0.303230,1101.203700,0.305890
11,20,10,"2,3,4,5,6,7,8,9,10,11","0,0,0,0,0,0,0,0,0,0","0,9,16,0,-1,5,20,20,6,20","+0.0000,+0.0450,+0.0800,+0.0000,-0.0050,+0.0250,+0.1000,+0.1000,+0.0300,+0.1000","1.0000,0.9573,0.9728,0.9714,0.9198,0.9489,0.9791,0.9289,0.8948,0.9337",762.571971,0.211826,756.772950,0.210215,779.213270,0.216448,800.498749,0.222361,810.144362,0.225040
12,20,20,"2,3,4,5,6,7,8,9,10,11","0,0,0,0,0,0,0,0,0,0","0,9,3,-5,5,3,0,9,20,20","+0.0000,+0.0450,+0.0150,-0.0250,+0.0250,+0.0150,+0.0000,+0.0450,+0.1000,+0.1000","1.0000,0.9653,0.9411,0.9868,0.9545,0.9452,0.9764,0.9673,0.8741,0.9435",702.570550,0.195158,697.977988,0.193883,718.996218,0.199721,738.651356,0.205181,747.325025,0.207590
13,20,30,"2,3,4,5,6,7,8,9,10,11","0,0,0,0,0,0,0,0,0,0","0,5,15,11,5,20,18,2,20,14","+0.0000,+0.0250,+0.0750,+0.0550,+0.0250,+0.1000,+0.0900,+0.0100,+0.1000,+0.0700","1.0000,0.9708,0.9315,0.9484,0.9778,0.9489,0.9285,0.9389,0.9370,0.9317",691.524387,0.192090,685.859062,0.190516,708.563568,0.196823,727.823255,0.202173,733.676213,0.203799
14,20,40,"2,3,4,5,6,7,8,9,10,11","0,0,0,0,0,0,0,0,0,0","0,-12,0,-3,0,-4,0,-11,0,-1","+0.0000,-0.0600,+0.0000,-0.0150,+0.0000,-0.0200,+0.0000,-0.0550,+0.0000,-0.0050","1.0000,0.8991,0.9513,0.9356,0.9279,0.9299,0.9544,0.9037,0.9542,0.9453",673.118370,0.186977,668.395225,0.185665,688.074230,0.191132,707.901933,0.196639,714.685400,0.198524
15,20,50,"2,3,4,5,6,7,8,9,10,11","0,0,0,0,0,0,0,0,0,0","0,4,12,14,5,17,18,4,20,12","+0.0000,+0.0200,+0.0600,+0.0700,+0.0250,+0.0850,+0.0900,+0.0200,+0.1000,+0.0600","1.0000,0.9419,0.8718,0.8602,0.9723,0.9086,0.8093,0.9515,0.8318,0.8814",683.237327,0.189788,679.199588,0.188667,699.162940,0.194212,719.159915,0.199767,726.182375,0.201717
16,20,60,"2,3,4,5,6,7,8,9,10,11","0,0,0,0,0,0,0,0,0,0","0,0,-3,-5,1,0,8,0,0,10","+0.0000,+0.0000,-0.0150,-0.0250,+0.0050,+0.0000,+0.0400,+0.0000,+0.0000,+0.0500","1.0000,0.9385,0.9156,0.8940,0.9487,0.9799,0.7073,0.9393,0.8725,0.7435",672.395883,0.186777,669.754956,0.186043,687.956305,0.191099,704.509577,0.195697,712.086575,0.197802
17,20,70,"2,3,4,5,6,7,8,9,10,11","0,0,0,0,0,0,0,0,0,0","0,0,-3,-1,0,0,0,0,0,-2","+0.0000,+0.0000,-0.0150,-0.0050,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-0.0100","1.0000,0.9558,0.8591,0.8595,0.9647,0.9577,0.8115,0.9512,0.8544,0.8654",662.197345,0.183944,659.937987,0.183316,678.418730,0.188450,694.031051,0.192786,700.952063,0.194709
18,20,80,"2,3,4,5,6,7,8,9,10,11","0,0,0,0,0,0,0,0,0,0","0,-12,-5,-3,-13,0,0,0,0,0","+0.0000,-0.0600,-0.0250,-0.0150,-0.0650,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000","1.0000,0.8536,0.8587,0.8721,0.8452,0.9101,0.9646,0.9345,0.9569,0.8816",673.183597,0.186995,670.207538,0.186169,689.093112,0.191415,706.225308,0.196174,712.906637,0.198030
19,20,90,"2,3,4,5,6,7,8,9,10,11","0,0,0,0,0,0,0,0,0,0","0,2,0,-5,4,1,14,2,0,1","+0.0000,+0.0100,+0.0000,-0.0250,+0.0200,+0.0050,+0.0700,+0.0100,+0.0000,+0.0050","1.0000,0.8895,0.9648,0.8866,0.9338,0.9716,0.7974,0.8175,0.9922,0.9746",672.436926,0.186788,670.002094,0.186112,688.241420,0.191178,703.534889,0.195426,709.478013,0.197077
