J1_Position,J2_Position,J3_Position,J4_Position,Error,MM_Step,Deg_step,Move_ID,Time,Time_Total,X,Y,Z,J1_Velocity,J2_Velocity,J3_Velocity,J4_Velocity,J1_Acceleration,J2_Acceleration,J3_Acceleration,J4_Acceleration
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,450.0,5.878304635907296e-14,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,7.85388194853654,1.0,2.0,0.0,0,449.93146282037605,7.853582896777638,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,7.853881948536539,1.0,2.0,0.06405126152203486,0.0640512615220349,449.7258721585931,15.704773516125494,300.0,15.612494995995995,0.0,0.0,0.0,243.74999999999997,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,7.853881948536543,1.0,2.0,0.01439519253323876,0.0784464540552736,449.38329063955825,23.55118030932478,300.0,69.46763634393787,0.0,0.0,0.0,3741.1893744101985,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,7.853881948536547,1.0,2.0,0.012135708676294044,0.0905821627315677,448.9038226169209,31.390413184856445,300.0,82.40145068358514,0.0,0.0,0.0,1065.7650644590908,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,7.8538819485365305,1.0,2.0,0.010691773976799004,0.101273936708367,448.28761414128553,39.22008423644623,300.0,93.52984847696796,0.0,0.0,0.0,1040.8373594065195,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,7.853881948536542,1.0,2.0,0.009666102536679155,0.110940039245046,447.534852915723,47.03780847044411,300.0,103.45431327728866,0.0,0.0,0.0,1026.7286905618025,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,7.853881948536551,1.0,2.0,0.008888898658009792,0.119828937903056,446.6457682385949,54.841204532316425,300.0,112.49987635969946,0.0,0.0,0.0,1017.6247283750763,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,7.853881948536532,1.0,2.0,0.008273585141014103,0.12810252304407,445.62063093370665,62.627895432029504,300.0,120.86658721172341,0.0,0.0,0.0,1011.2557868714262,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,7.853881948536544,1.0,2.0,0.007770721053281776,0.135873244097351,444.459753267812,70.39550926810395,300.0,128.68818648144295,0.0,0.0,0.0,1006.5474254047864,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,7.853881948536549,1.0,2.0,0.007349730710535074,0.143222974807887,443.1634888554936,78.14167995011871,300.0,136.05940671630378,0.0,0.0,0.0,1002.9238519303777,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,7.853881948536544,1.0,2.0,0.006990548431875604,0.150213523239762,441.73223255144876,85.86404791944523,300.0,143.05029279822818,0.0,0.0,0.0,1000.0483009383438,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0,7.853881948536521,1.0,2.0,0.006679384870785066,0.156892908110547,440.16642033021253,93.56026086799174,300.0,149.714385283276,0.0,0.0,0.0,997.710509869831,0.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0,7.8538819485365465,1.0,2.0,0.006406408074997982,0.163299316185545,438.46652915335585,101.2279744547393,300.0,156.09370934434503,0.0,0.0,0.0,995.7723558018978,0.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0,7.853881948536554,1.0,2.0,0.006164392961719473,0.169463709147265,436.6330768241984,108.86485301985053,300.0,162.22197484974478,0.0,0.0,0.0,994.1393326895172,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0,7.85388194853653,1.0,2.0,0.005947894714141144,0.175411603861406,434.66662183008077,116.4685702961344,300.0,168.12671509172748,0.0,0.0,0.0,992.7445803544823,0.0,0.0,0.0
16.0,0.0,0.0,0.0,0.0,7.853881948536529,1.0,2.0,0.005752721601729488,0.181164325463135,432.56776317224353,124.03681011764968,300.0,173.8307655457135,0.0,0.0,0.0,991.5394571277634,0.0,0.0,0.0
17.0,0.0,0.0,0.0,0.0,7.8538819485365705,1.0,2.0,0.00557558690643517,0.18673991236957,430.33714018336593,131.56726712523158,300.0,179.3533159434446,0.0,0.0,0.0,990.4877262978658,0.0,0.0,0.0
18.0,0.0,0.0,0.0,0.0,7.853881948536518,1.0,2.0,0.005413872196534081,0.192153784566105,427.9754323328191,139.05764746872637,300.0,184.71067725614068,0.0,0.0,0.0,989.561836373938,0.0,0.0,0.0
19.0,0.0,0.0,0.0,0.0,7.853881948536563,1.0,2.0,0.005265462151025246,0.19741924671713,425.48335901969256,146.50566950572056,300.0,189.91685275057736,0.0,0.0,0.0,988.7404647705948,0.0,0.0,0.0
20.0,0.0,0.0,0.0,0.0,7.853881948536504,1.0,2.0,0.005128626699603511,0.202547873416733,422.8616793536588,153.90906449655097,300.0,194.98397106525786,0.0,0.0,0.0,988.0068508539007,0.0,0.0,0.0
21.0,0.0,0.0,0.0,0.0,7.853881948536587,1.0,2.0,0.005001935248375,0.207549808665108,420.11119192374076,161.26557729538519,300.0,199.9226200148981,0.0,0.0,0.0,987.3476373458982,0.0,0.0,0.0
22.0,0.0,0.0,0.0,0.0,7.8538819485365385,1.0,2.0,0.0048841931524093996,0.212434001817518,417.2327345550543,168.57296703716048,300.0,204.7421076102804,0.0,0.0,0.0,986.75204788018,0.0,0.0,0.0
23.0,0.0,0.0,0.0,0.0,7.853881948536485,1.0,2.0,0.0047743939214296705,0.217208395738947,414.2271840535982,175.82900782017322,300.0,209.45066880877616,0.0,0.0,0.0,986.2112921519862,0.0,0.0,0.0
24.0,0.0,0.0,0.0,0.0,7.853881948536547,1.0,2.0,0.0046716827511442405,0.221880078490092,411.0954559391704,183.0314893841101,300.0,214.05563118665728,0.0,0.0,0.0,985.7181283881539,0.0,0.0,0.0
25.0,0.0,0.0,0.0,0.0,7.853881948536578,1.0,2.0,0.004575328338827511,0.226455406828919,407.8385041664925,190.1782177833148,300.0,218.5635490930173,0.0,0.0,0.0,985.266536634007,0.0,0.0,0.0
26.0,0.0,0.0,0.0,0.0,7.8538819485364995,1.0,2.0,0.004484700846931172,0.23094010767585,404.4573208346252,197.26701605508487,300.0,222.98031332107428,0.0,0.0,0.0,984.8514714374606,0.0,0.0,0.0
