Time (s),Max Power (W),Source File
0.000000,97.900000,Joint1Peak (2)
0.100000,97.800000,Joint1Peak (1)
0.200000,194.400000,Joint1Peak (1)
0.300000,670.500000,Joint1Peak (1)
0.400000,840.500000,Joint1Peak (4)
0.500000,575.700000,Joint1Peak (2)
0.600000,503.900000,Joint1Peak (4)
0.700000,181.800000,Joint1Peak (2)
0.800000,77.200000,Joint1Peak (4)
0.900000,77.200000,Joint1Peak (2)
1.000000,77.000000,Joint1Peak (1)
1.100000,77.100000,Joint1Peak (4)
1.200000,76.800000,Joint1Peak (3)
1.300000,85.700000,Joint1Peak (4)
1.400000,98.000000,Joint1Peak (4)
1.500000,97.000000,Joint1Peak (1)
1.600000,96.000000,Joint1Peak (2)
1.700000,96.600000,Joint1Peak (2)
1.800000,98.700000,Joint1Peak (1)
1.900000,263.700000,Joint1Peak (1)
2.000000,750.000000,Joint1Peak (1)
2.100000,802.800000,Joint1Peak (2)
2.200000,492.800000,Joint1Peak (4)
2.300000,449.700000,Joint1Peak (4)
2.400000,106.300000,Joint1Peak (2)
2.500000,77.100000,Joint1Peak (1)
2.600000,76.900000,Joint1Peak (2)
2.700000,76.600000,Joint1Peak (1)
2.800000,77.200000,Joint1Peak (4)
2.900000,76.800000,Joint1Peak (1)
3.000000,81.700000,Joint1Peak (4)
3.100000,95.500000,Joint1Peak (1)
3.200000,98.700000,Joint1Peak (1)
3.300000,96.500000,Joint1Peak (2)
3.400000,98.000000,Joint1Peak (1)
3.500000,103.600000,Joint1Peak (1)
3.600000,373.000000,Joint1Peak (1)
3.700000,795.900000,Joint1Peak (1)
3.800000,509.100000,Joint1Peak (4)
3.900000,487.000000,Joint1Peak (4)
4.000000,363.500000,Joint1Peak (2)
4.100000,78.900000,Joint1Peak (2)
4.200000,77.400000,Joint1Peak (4)
4.300000,77.000000,Joint1Peak (4)
4.400000,76.600000,Joint1Peak (4)
4.500000,76.900000,Joint1Peak (4)
4.600000,77.000000,Joint1Peak (4)
4.700000,84.100000,Joint1Peak (1)
4.800000,94.600000,Joint1Peak (1)
4.900000,97.700000,Joint1Peak (4)
5.000000,96.500000,Joint1Peak (4)
5.100000,98.000000,Joint1Peak (2)
5.200000,131.000000,Joint1Peak (1)
5.300000,715.600000,Joint1Peak (4)
5.400000,765.900000,Joint1Peak (1)
5.500000,475.800000,Joint1Peak (4)
5.600000,465.300000,Joint1Peak (4)
5.700000,261.900000,Joint1Peak (2)
5.800000,77.100000,Joint1Peak (2)
5.900000,76.700000,Joint1Peak (1)
6.000000,77.100000,Joint1Peak (1)
6.100000,77.000000,Joint1Peak (2)
6.200000,76.900000,Joint1Peak (4)
6.300000,76.600000,Joint1Peak (4)
6.400000,83.200000,Joint1Peak (1)
6.500000,95.900000,Joint1Peak (1)
6.600000,97.700000,Joint1Peak (4)
6.700000,96.900000,Joint1Peak (3)
6.800000,96.400000,Joint1Peak (3)
6.900000,326.100000,Joint1Peak (4)
7.000000,789.600000,Joint1Peak (4)
7.100000,546.200000,Joint1Peak (4)
7.200000,468.700000,Joint1Peak (4)
7.300000,439.700000,Joint1Peak (2)
7.400000,77.900000,Joint1Peak (1)
7.500000,77.000000,Joint1Peak (2)
7.600000,76.800000,Joint1Peak (4)
7.700000,76.900000,Joint1Peak (4)
7.800000,77.000000,Joint1Peak (2)
7.900000,76.800000,Joint1Peak (4)
8.000000,76.800000,Joint1Peak (2)
8.100000,95.700000,Joint1Peak (4)
8.200000,95.900000,Joint1Peak (4)
8.300000,96.100000,Joint1Peak (3)
8.400000,98.700000,Joint1Peak (4)
8.500000,115.300000,Joint1Peak (4)
8.600000,548.300000,Joint1Peak (3)
8.700000,786.400000,Joint1Peak (4)
8.800000,497.600000,Joint1Peak (4)
8.900000,442.000000,Joint1Peak (3)
9.000000,207.600000,Joint1Peak (1)
9.100000,77.000000,Joint1Peak (4)
9.200000,76.700000,Joint1Peak (1)
9.300000,77.000000,Joint1Peak (1)
9.400000,76.900000,Joint1Peak (4)
9.500000,77.100000,Joint1Peak (4)
9.600000,76.600000,Joint1Peak (3)
9.700000,85.400000,Joint1Peak (4)
9.800000,95.100000,Joint1Peak (3)
9.900000,99.000000,Joint1Peak (2)
10.000000,96.600000,Joint1Peak (2)
10.100000,98.100000,Joint1Peak (4)
10.200000,96.400000,Joint1Peak (1)
10.300000,98.200000,Joint1Peak (2)
10.400000,96.800000,Joint1Peak (3)
10.500000,98.700000,Joint1Peak (4)
10.600000,99.200000,Joint1Peak (1)
10.700000,97.100000,Joint1Peak (3)
10.800000,97.700000,Joint1Peak (4)
10.900000,96.700000,Joint1Peak (4)
11.000000,97.800000,Joint1Peak (4)
11.100000,96.300000,Joint1Peak (2)
11.200000,98.100000,Joint1Peak (1)
11.300000,97.500000,Joint1Peak (3)
11.400000,98.600000,Joint1Peak (4)
11.500000,95.600000,Joint1Peak (4)
11.600000,97.100000,Joint1Peak (4)
11.700000,97.700000,Joint1Peak (2)
11.800000,97.900000,Joint1Peak (2)
11.900000,97.900000,Joint1Peak (4)
12.000000,97.500000,Joint1Peak (2)
12.100000,96.600000,Joint1Peak (3)
12.200000,97.300000,Joint1Peak (4)
12.300000,98.000000,Joint1Peak (2)
12.400000,95.800000,Joint1Peak (4)
12.500000,97.500000,Joint1Peak (4)
12.600000,96.200000,Joint1Peak (3)
12.700000,97.900000,Joint1Peak (3)
12.800000,96.000000,Joint1Peak (3)
