Time,P[W],Source File
0.000000,96.200000,J4It1
0.100000,98.900000,J4It2
0.200000,151.600000,J4It2
0.300000,192.900000,J4It2
0.400000,149.700000,J4It1
0.500000,94.600000,J4It1
0.600000,96.000000,J4It2
0.700000,95.700000,J4It1
0.800000,96.100000,J4It1
0.900000,95.900000,J4It2
1.000000,96.800000,J4It2
1.100000,95.800000,J4It1
1.200000,96.700000,J4It1
1.300000,95.600000,J4It2
1.400000,96.500000,J4It2
1.500000,95.500000,J4It1
1.600000,118.300000,J4It2
1.700000,192.200000,J4It2
1.800000,181.200000,J4It1
1.900000,152.900000,J4It2
2.000000,91.800000,J4It1
2.100000,96.600000,J4It2
2.200000,96.200000,J4It1
2.300000,96.300000,J4It2
2.400000,96.000000,J4It2
2.500000,96.200000,J4It1
2.600000,95.600000,J4It2
2.700000,96.500000,J4It1
2.800000,96.100000,J4It1
2.900000,95.800000,J4It2
3.000000,96.200000,J4It1
3.100000,113.300000,J4It1
3.200000,181.300000,J4It1
3.300000,161.500000,J4It1
3.400000,158.000000,J4It1
3.500000,102.200000,J4It2
3.600000,96.100000,J4It2
3.700000,95.600000,J4It1
3.800000,96.100000,J4It1
3.900000,95.900000,J4It2
4.000000,97.000000,J4It1
4.100000,96.600000,J4It2
4.200000,97.500000,J4It2
4.300000,95.900000,J4It2
4.400000,96.200000,J4It1
4.500000,95.400000,J4It2
4.600000,98.700000,J4It2
4.700000,183.600000,J4It1
4.800000,157.400000,J4It1
4.900000,155.000000,J4It1
5.000000,104.300000,J4It1
5.100000,96.900000,J4It2
5.200000,96.000000,J4It1
5.300000,97.400000,J4It2
5.400000,95.800000,J4It1
5.500000,96.400000,J4It1
5.600000,95.700000,J4It2
5.700000,95.800000,J4It2
5.800000,95.800000,J4It1
5.900000,96.400000,J4It2
6.000000,95.800000,J4It1
6.100000,98.200000,J4It2
6.200000,141.800000,J4It2
6.300000,150.400000,J4It1
6.400000,149.100000,J4It1
6.500000,134.300000,J4It1
6.600000,96.200000,J4It1
6.700000,95.900000,J4It1
6.800000,96.800000,J4It1
6.900000,94.900000,J4It2
7.000000,96.400000,J4It2
7.100000,96.600000,J4It2
7.200000,95.400000,J4It2
7.300000,95.900000,J4It1
7.400000,96.400000,J4It2
7.500000,95.800000,J4It2
7.600000,96.400000,J4It2
7.700000,134.000000,J4It2
7.800000,168.800000,J4It1
7.900000,147.800000,J4It1
8.000000,138.200000,J4It1
8.100000,96.400000,J4It1
8.200000,95.200000,J4It2
8.300000,96.500000,J4It1
8.400000,94.400000,J4It1
8.500000,96.300000,J4It2
8.600000,96.600000,J4It1
8.700000,97.100000,J4It1
8.800000,95.500000,J4It2
