#Device;NPA101
#Device Name;NO NAME
#Format;LOG
#Date;2000-01-01
#Version;01.002-02.430-03.730
#Serial No.;000100329
#Mode;Unlimited
#Logging Interval[s];0.100
#Specified Logging Count;-----
#Specified Logging Time[s];-----
#Start Time;00:16:55
#Stop Time;00:17:43
#Actual Count;481         
URMS[V];IRMS[A];P[W];FPLL[Hz];URange[V];IRange[A];S[VA];Q[var];LAMBDA[];UTHD[%];Timestamp
237.78;0.815;0.0975E+03;49.916;300;20;0.1938E+03;0.1674E+03;0.503;1.71;00:16:55.000
237.78;0.797;0.0954E+03;49.916;300;20;0.1896E+03;0.1639E+03;0.503;1.70;00:16:55.100
237.78;0.798;0.0955E+03;49.916;300;20;0.1898E+03;0.1640E+03;0.503;1.72;00:16:55.200
237.75;0.792;0.0949E+03;49.916;300;20;0.1883E+03;0.1626E+03;0.504;1.74;00:16:55.300
237.74;0.813;0.0972E+03;49.916;300;20;0.1933E+03;0.1670E+03;0.503;1.73;00:16:55.400
237.74;0.801;0.0956E+03;49.918;300;20;0.1905E+03;0.1647E+03;0.502;1.70;00:16:55.500
237.72;0.798;0.0953E+03;49.919;300;20;0.1897E+03;0.1641E+03;0.502;1.70;00:16:55.600
237.71;0.797;0.0953E+03;49.919;300;20;0.1894E+03;0.1637E+03;0.503;1.72;00:16:55.700
237.70;0.797;0.0953E+03;49.920;300;20;0.1893E+03;0.1636E+03;0.503;1.73;00:16:55.800
237.72;0.808;0.0967E+03;49.921;300;20;0.1922E+03;0.1660E+03;0.503;1.73;00:16:55.900
237.75;0.812;0.0972E+03;49.921;300;20;0.1930E+03;0.1667E+03;0.504;1.68;00:16:56.000
237.77;0.804;0.0963E+03;49.922;300;20;0.1912E+03;0.1652E+03;0.504;1.71;00:16:56.100
237.75;0.793;0.0948E+03;49.922;300;20;0.1884E+03;0.1628E+03;0.503;1.71;00:16:56.200
237.79;0.807;0.0968E+03;49.922;300;20;0.1918E+03;0.1656E+03;0.504;1.72;00:16:56.300
237.79;0.805;0.0963E+03;49.922;300;20;0.1913E+03;0.1653E+03;0.504;1.71;00:16:56.400
237.77;0.811;0.0969E+03;49.922;300;20;0.1929E+03;0.1668E+03;0.503;1.67;00:16:56.500
237.80;0.808;0.0967E+03;49.922;300;20;0.1921E+03;0.1661E+03;0.503;1.70;00:16:56.600
237.83;0.800;0.0956E+03;49.922;300;20;0.1902E+03;0.1644E+03;0.503;1.71;00:16:56.700
237.82;0.797;0.0955E+03;49.921;300;20;0.1894E+03;0.1636E+03;0.504;1.71;00:16:56.800
237.80;0.808;0.0968E+03;49.921;300;20;0.1922E+03;0.1661E+03;0.504;1.70;00:16:56.900
237.78;0.813;0.0974E+03;49.920;300;20;0.1934E+03;0.1671E+03;0.504;20;00:16:57.000
237.80;0.803;0.0962E+03;49.921;300;20;0.1909E+03;0.1648E+03;0.504;1.71;00:16:57.100
237.78;0.798;0.0955E+03;49.920;300;20;0.1897E+03;0.1638E+03;0.504;1.71;00:16:57.200
237.81;0.796;0.0955E+03;49.921;300;20;0.1894E+03;0.1635E+03;0.504;1.72;00:16:57.300
237.81;0.812;0.0974E+03;49.921;300;20;0.1932E+03;0.1668E+03;0.504;1.70;00:16:57.400
237.85;0.809;0.0969E+03;49.920;300;20;0.1925E+03;0.1664E+03;0.503;1.69;00:16:57.500
237.87;0.808;0.0968E+03;49.920;300;20;0.1922E+03;0.1660E+03;0.504;1.70;00:16:57.600
237.88;0.788;0.0946E+03;49.920;300;20;0.1876E+03;0.1620E+03;0.504;1.69;00:16:57.700
237.86;0.805;0.0965E+03;49.920;300;20;0.1914E+03;0.1653E+03;0.504;1.70;00:16:57.800
237.84;0.802;0.0961E+03;49.921;300;20;0.1907E+03;0.1647E+03;0.504;1.69;00:16:57.900
237.85;0.809;0.0971E+03;49.922;300;20;0.1925E+03;0.1662E+03;0.504;1.67;00:16:58.000
237.86;0.792;0.0950E+03;49.922;300;20;0.1883E+03;0.1626E+03;0.504;1.69;00:16:58.100
237.86;0.796;0.0954E+03;49.923;300;20;0.1893E+03;0.1635E+03;0.504;1.73;00:16:58.200
237.89;0.789;0.0946E+03;49.923;300;20;0.1877E+03;0.1621E+03;0.504;1.73;00:16:58.300
237.92;0.805;0.0964E+03;49.924;300;20;0.1916E+03;0.1656E+03;0.503;1.72;00:16:58.400
237.92;0.809;0.0970E+03;49.925;300;20;0.1924E+03;0.1662E+03;0.504;1.73;00:16:58.500
237.94;0.798;0.0957E+03;49.925;300;20;0.1900E+03;0.1641E+03;0.504;1.73;00:16:58.600
237.94;0.793;0.0954E+03;49.926;300;20;0.1888E+03;0.1629E+03;0.505;1.75;00:16:58.700
237.90;0.801;0.0963E+03;49.925;300;20;0.1905E+03;0.1644E+03;0.506;1.72;00:16:58.800
237.89;0.799;0.0961E+03;49.924;300;20;0.1900E+03;0.1640E+03;0.506;1.71;00:16:58.900
237.89;0.792;0.0954E+03;49.923;300;20;0.1885E+03;0.1626E+03;0.506;1.72;00:16:59.000
237.88;0.799;0.0957E+03;49.921;300;20;0.1901E+03;0.1643E+03;0.503;1.73;00:16:59.100
237.86;0.776;0.0936E+03;49.920;300;20;0.1845E+03;0.1591E+03;0.507;1.74;00:16:59.200
237.87;0.827;0.0997E+03;49.919;300;20;0.1968E+03;0.1697E+03;0.507;1.74;00:16:59.300
237.77;1.485;0.1737E+03;49.918;300;20;0.3531E+03;0.3075E+03;0.492;1.81;00:16:59.400
237.23;4.182;0.5534E+03;49.918;300;20;0.9922E+03;0.8235E+03;0.558;1.89;00:16:59.500
236.99;5.227;0.7183E+03;49.918;300;20;1.2387E+03;1.0091E+03;0.580;2.01;00:16:59.600
237.18;4.335;0.5775E+03;49.918;300;20;1.0283E+03;0.8508E+03;0.562;1.93;00:16:59.700
237.51;2.581;0.3171E+03;49.918;300;20;0.6130E+03;0.5246E+03;0.517;1.77;00:16:59.800
237.84;0.846;0.1013E+03;49.917;300;20;0.2012E+03;0.1738E+03;0.504;1.73;00:16:59.900
237.88;0.704;0.0849E+03;49.917;300;20;0.1674E+03;0.1443E+03;0.507;1.71;00:17:00.000
237.87;0.781;0.0939E+03;49.918;300;20;0.1857E+03;0.1602E+03;0.505;1.73;00:17:00.100
237.83;1.034;0.1217E+03;49.919;300;20;0.2459E+03;0.2136E+03;0.495;1.76;00:17:00.200
237.34;3.391;0.4356E+03;49.919;300;20;0.8048E+03;0.6768E+03;0.541;1.85;00:17:00.300
237.05;4.715;0.6353E+03;49.918;300;20;1.1178E+03;0.9197E+03;0.568;1.95;00:17:00.400
237.07;4.618;0.6217E+03;49.918;300;20;1.0947E+03;0.9011E+03;0.568;1.96;00:17:00.500
237.36;3.222;0.4086E+03;49.917;300;20;0.7648E+03;0.6465E+03;0.534;1.83;00:17:00.600
237.78;0.858;0.1024E+03;49.917;300;20;0.2040E+03;0.1764E+03;0.502;1.73;00:17:00.700
237.83;0.698;0.0842E+03;49.916;300;20;0.1660E+03;0.1431E+03;0.507;1.73;00:17:00.800
237.85;0.729;0.0878E+03;49.917;300;20;0.1734E+03;0.1496E+03;0.506;1.72;00:17:00.900
237.84;0.806;0.0967E+03;49.918;300;20;0.1917E+03;0.1655E+03;0.505;1.74;00:17:01.000
237.81;0.799;0.0961E+03;49.917;300;20;0.1901E+03;0.1640E+03;0.505;1.75;00:17:01.100
237.82;0.802;0.0963E+03;49.916;300;20;0.1907E+03;0.1646E+03;0.505;1.73;00:17:01.200
237.83;0.803;0.0967E+03;49.915;300;20;0.1911E+03;0.1648E+03;0.506;1.74;00:17:01.300
237.87;0.803;0.0966E+03;49.915;300;20;0.1910E+03;0.1648E+03;0.506;1.73;00:17:01.400
237.89;0.803;0.0968E+03;49.915;300;20;0.1911E+03;0.1648E+03;0.507;1.74;00:17:01.500
237.89;0.800;0.0963E+03;49.917;300;20;0.1904E+03;0.1642E+03;0.506;1.76;00:17:01.600
237.88;0.805;0.0968E+03;49.916;300;20;0.1915E+03;0.1653E+03;0.505;1.75;00:17:01.700
237.85;0.798;0.0960E+03;49.916;300;20;0.1898E+03;0.1637E+03;0.506;1.77;00:17:01.800
237.87;0.798;0.0960E+03;49.916;300;20;0.1898E+03;0.1637E+03;0.506;1.75;00:17:01.900
237.84;0.832;0.0997E+03;49.914;300;20;0.1980E+03;0.1710E+03;0.504;1.74;00:17:02.000
237.76;1.445;0.1696E+03;49.914;300;20;0.3436E+03;0.2988E+03;0.494;1.78;00:17:02.100
237.53;2.600;0.3215E+03;49.914;300;20;0.6176E+03;0.5273E+03;0.521;1.88;00:17:02.200
237.16;4.357;0.5816E+03;49.915;300;20;1.0334E+03;0.8542E+03;0.563;1.95;00:17:02.300
237.31;3.507;0.4552E+03;49.916;300;20;0.8321E+03;0.6966E+03;0.547;1.90;00:17:02.400
237.44;2.936;0.3691E+03;49.916;300;20;0.6970E+03;0.5913E+03;0.530;1.86;00:17:02.500
237.76;1.391;0.1645E+03;49.915;300;20;0.3306E+03;0.2868E+03;0.498;1.76;00:17:02.600
237.86;0.695;0.0838E+03;49.915;300;20;0.1653E+03;0.1425E+03;0.507;1.76;00:17:02.700
237.85;0.763;0.0918E+03;49.916;300;20;0.1815E+03;0.1566E+03;0.506;1.75;00:17:02.800
237.83;0.872;0.1039E+03;49.915;300;20;0.2075E+03;0.1796E+03;0.501;1.76;00:17:02.900
237.69;1.628;0.1923E+03;49.917;300;20;0.3870E+03;0.3358E+03;0.497;1.81;00:17:03.000
237.22;3.944;0.5182E+03;49.918;300;20;0.9357E+03;0.7791E+03;0.554;1.88;00:17:03.100
237.16;4.081;0.5386E+03;49.918;300;20;0.9679E+03;0.8042E+03;0.556;1.93;00:17:03.200
237.36;3.308;0.4259E+03;49.918;300;20;0.7853E+03;0.6598E+03;0.542;1.89;00:17:03.300
237.54;2.590;0.3190E+03;49.919;300;20;0.6152E+03;0.5260E+03;0.518;1.81;00:17:03.400
237.81;1.156;0.1372E+03;49.919;300;20;0.2750E+03;0.2383E+03;0.499;1.73;00:17:03.500
237.91;0.682;0.0821E+03;49.920;300;20;0.1623E+03;0.1399E+03;0.506;1.74;00:17:03.600
237.88;0.767;0.0920E+03;49.921;300;20;0.1824E+03;0.1575E+03;0.505;1.74;00:17:03.700
237.84;0.802;0.0964E+03;49.922;300;20;0.1908E+03;0.1647E+03;0.505;1.74;00:17:03.800
237.86;0.807;0.0970E+03;49.923;300;20;0.1920E+03;0.1657E+03;0.505;1.76;00:17:03.900
237.85;0.803;0.0966E+03;49.924;300;20;0.1909E+03;0.1647E+03;0.506;1.75;00:17:04.000
237.87;0.807;0.0971E+03;49.926;300;20;0.1919E+03;0.1655E+03;0.506;1.75;00:17:04.100
237.87;0.799;0.0963E+03;49.928;300;20;0.1902E+03;0.1640E+03;0.506;1.74;00:17:04.200
237.87;0.799;0.0961E+03;49.929;300;20;0.1900E+03;0.1639E+03;0.506;1.76;00:17:04.300
237.90;0.799;0.0963E+03;49.930;300;20;0.1901E+03;0.1639E+03;0.507;1.77;00:17:04.400
237.90;0.802;0.0967E+03;49.930;300;20;0.1908E+03;0.1645E+03;0.507;1.76;00:17:04.500
237.89;0.798;0.0963E+03;49.932;300;20;0.1898E+03;0.1635E+03;0.507;1.74;00:17:04.600
237.90;0.797;0.0961E+03;49.932;300;20;0.1896E+03;0.1634E+03;0.507;1.75;00:17:04.700
