#Device;NPA101
#Device Name;NO NAME
#Format;LOG
#Date;2000-01-01
#Version;01.002-02.430-03.730
#Serial No.;000100329

#Mode;Unlimited
#Logging Interval[s];0.100
#Specified Logging Count;-----
#Specified Logging Time[s];-----

#Start Time;00:19:39
#Stop Time;00:20:36

#Actual Count;577         

URMS[V];IRMS[A];P[W];FPLL[Hz];URange[V];IRange[A];S[VA];Q[var];LAMBDA[];UTHD[%];Timestamp
238.00;0.793;0.0958E+03;49.914;300;20;0.1887E+03;0.1626E+03;0.508;1.80;00:19:39.000
237.97;0.796;0.0963E+03;49.914;300;20;0.1894E+03;0.1631E+03;0.508;1.80;00:19:39.100
237.97;0.790;0.0956E+03;49.915;300;20;0.1881E+03;0.1620E+03;0.508;1.80;00:19:39.200
237.97;0.801;0.0969E+03;49.915;300;20;0.1906E+03;0.1641E+03;0.508;1.78;00:19:39.300
237.96;0.799;0.0965E+03;49.915;300;20;0.1902E+03;0.1639E+03;0.507;1.80;00:19:39.400
238.00;0.803;0.0970E+03;49.915;300;20;0.1910E+03;0.1646E+03;0.508;1.79;00:19:39.500
237.98;0.793;0.0958E+03;49.915;300;20;0.1888E+03;0.1627E+03;0.508;1.78;00:19:39.600
238.00;0.797;0.0963E+03;49.915;300;20;0.1897E+03;0.1634E+03;0.508;1.78;00:19:39.700
237.97;0.786;0.0949E+03;49.914;300;20;0.1870E+03;0.1612E+03;0.507;1.79;00:19:39.800
237.98;0.802;0.0970E+03;49.915;300;20;0.1908E+03;0.1643E+03;0.508;1.77;00:19:39.900
238.01;0.797;0.0963E+03;49.915;300;20;0.1897E+03;0.1634E+03;0.508;1.77;00:19:40.000
238.00;0.796;0.0961E+03;49.915;300;20;0.1895E+03;0.1633E+03;0.507;1.76;00:19:40.100
237.97;0.791;0.0954E+03;49.914;300;20;0.1882E+03;0.1622E+03;0.507;1.78;00:19:40.200
237.99;0.794;0.0960E+03;49.913;300;20;0.1890E+03;0.1629E+03;0.508;1.79;00:19:40.300
237.99;0.799;0.0965E+03;49.913;300;20;0.1902E+03;0.1639E+03;0.507;1.78;00:19:40.400
237.99;0.792;0.0957E+03;49.914;300;20;0.1886E+03;0.1625E+03;0.507;1.80;00:19:40.500
238.00;0.796;0.0961E+03;49.915;300;20;0.1894E+03;0.1632E+03;0.507;1.81;00:19:40.600
237.98;0.795;0.0961E+03;49.915;300;20;0.1893E+03;0.1631E+03;0.508;1.81;00:19:40.700
237.95;0.803;0.0969E+03;49.915;300;20;0.1910E+03;0.1646E+03;0.507;1.80;00:19:40.800
237.96;0.793;0.0959E+03;49.914;300;20;0.1887E+03;0.1625E+03;0.508;1.80;00:19:40.900
238.02;0.798;0.0964E+03;49.913;300;20;0.1898E+03;0.1635E+03;0.508;1.80;00:19:41.000
238.03;0.793;0.0959E+03;49.914;300;20;0.1887E+03;0.1625E+03;0.508;1.79;00:19:41.100
238.03;0.799;0.0966E+03;49.915;300;20;0.1902E+03;0.1639E+03;0.508;1.79;00:19:41.200
238.02;0.797;0.0964E+03;49.917;300;20;0.1898E+03;0.1635E+03;0.508;1.78;00:19:41.300
238.00;0.797;0.0962E+03;49.916;300;20;0.1897E+03;0.1635E+03;0.507;1.78;00:19:41.400
238.00;0.786;0.0949E+03;49.918;300;20;0.1870E+03;0.1612E+03;0.508;1.78;00:19:41.500
237.95;0.791;0.0955E+03;49.918;300;20;0.1883E+03;0.1622E+03;0.507;1.78;00:19:41.600
237.94;0.802;0.0970E+03;49.919;300;20;0.1909E+03;0.1645E+03;0.508;1.78;00:19:41.700
237.91;0.792;0.0956E+03;49.919;300;20;0.1885E+03;0.1625E+03;0.507;1.78;00:19:41.800
237.95;0.807;0.0975E+03;49.920;300;20;0.1920E+03;0.1654E+03;0.508;1.80;00:19:41.900
237.96;0.797;0.0961E+03;49.921;300;20;0.1897E+03;0.1636E+03;0.506;1.79;00:19:42.000
237.98;0.803;0.0968E+03;49.920;300;20;0.1911E+03;0.1648E+03;0.507;1.79;00:19:42.100
237.98;0.796;0.0960E+03;49.919;300;20;0.1895E+03;0.1634E+03;0.506;1.78;00:19:42.200
238.00;0.801;0.0967E+03;49.918;300;20;0.1906E+03;0.1642E+03;0.507;1.79;00:19:42.300
237.97;0.790;0.0953E+03;49.918;300;20;0.1879E+03;0.1619E+03;0.507;1.77;00:19:42.400
238.00;0.803;0.0970E+03;49.917;300;20;0.1911E+03;0.1647E+03;0.508;1.77;00:19:42.500
237.99;0.787;0.0951E+03;49.917;300;20;0.1874E+03;0.1614E+03;0.507;1.77;00:19:42.600
238.02;0.801;0.0969E+03;49.917;300;20;0.1908E+03;0.1643E+03;0.508;1.76;00:19:42.700
237.99;0.797;0.0963E+03;49.917;300;20;0.1896E+03;0.1634E+03;0.508;1.74;00:19:42.800
237.96;0.798;0.0964E+03;49.917;300;20;0.1899E+03;0.1636E+03;0.507;1.77;00:19:42.900
237.71;2.473;0.3050E+03;49.917;300;20;0.5878E+03;0.5024E+03;0.519;1.82;00:19:43.000
237.40;3.873;0.5092E+03;49.916;300;20;0.9195E+03;0.7656E+03;0.554;1.92;00:19:43.100
237.14;5.069;0.6945E+03;49.917;300;20;1.2022E+03;0.9812E+03;0.578;2.02;00:19:43.200
237.27;4.460;0.6002E+03;49.917;300;20;1.0582E+03;0.8716E+03;0.567;1.95;00:19:43.300
