Speed_%,Accel_%,Speed_abs,Accel_abs,CycleTime_s,OK,ErrorMsg,File,RowsWritten
10,10,42,192,9.008928654867312,1.0,,Speed10_Accel10_AllFourJoints.csv,361
10,20,42,405.4,8.778631391553832,1.0,,Speed10_Accel20_AllFourJoints.csv,361
10,30,42,595.6,8.71246286997796,1.0,,Speed10_Accel30_AllFourJoints.csv,361
10,40,42,790.3,8.677717363662305,1.0,,Speed10_Accel40_AllFourJoints.csv,361
10,50,42,975.1,8.657573619221587,1.0,,Speed10_Accel50_AllFourJoints.csv,361
10,60,42,1138.93,8.64518204092904,1.0,,Speed10_Accel60_AllFourJoints.csv,361
10,70,42,1295,8.636293468421421,1.0,,Speed10_Accel70_AllFourJoints.csv,361
10,80,42,1418,8.63066696602434,1.0,,Speed10_Accel80_AllFourJoints.csv,361
10,90,42,1520.4,8.626677219864106,1.0,,Speed10_Accel90_AllFourJoints.csv,361
10,100,42,1645.8,8.622467608312565,1.0,,Speed10_Accel100_AllFourJoints.csv,361
20,10,84,192,5.160714369153027,1.0,,Speed20_Accel10_AllFourJoints.csv,361
20,20,84,405.4,4.700119868543049,1.0,,Speed20_Accel20_AllFourJoints.csv,361
20,30,84,595.6,4.567782835438961,1.0,,Speed20_Accel30_AllFourJoints.csv,361
20,40,84,790.3,4.4982918290551925,1.0,,Speed20_Accel40_AllFourJoints.csv,361
20,50,84,975.1,4.4580043442754285,1.0,,Speed20_Accel50_AllFourJoints.csv,361
20,60,84,1138.93,4.433221190456604,1.0,,Speed20_Accel60_AllFourJoints.csv,361
20,70,84,1295,4.415444047571999,1.0,,Speed20_Accel70_AllFourJoints.csv,361
20,80,84,1418,4.404191044202859,1.0,,Speed20_Accel80_AllFourJoints.csv,361
20,90,84,1520.4,4.396211552934352,1.0,,Speed20_Accel90_AllFourJoints.csv,361
20,100,84,1645.8,4.387792330983259,1.0,,Speed20_Accel100_AllFourJoints.csv,361
30,10,126,192,4.169642940581599,1.0,,Speed30_Accel10_AllFourJoints.csv,361
30,20,126,405.4,3.4787512026751237,1.0,,Speed30_Accel20_AllFourJoints.csv,361
30,30,126,595.6,3.2802456580428183,1.0,,Speed30_Accel30_AllFourJoints.csv,361
30,40,126,790.3,3.1760091515909394,1.0,,Speed30_Accel40_AllFourJoints.csv,361
30,50,126,975.1,3.115577926472126,1.0,,Speed30_Accel50_AllFourJoints.csv,361
30,60,126,1138.93,3.0784031971270243,1.0,,Speed30_Accel60_AllFourJoints.csv,361
30,70,126,1295,3.051737483865436,1.0,,Speed30_Accel70_AllFourJoints.csv,361
30,80,126,1418,3.034857979524237,1.0,,Speed30_Accel80_AllFourJoints.csv,361
