#Device;NPA101
#Device Name;NO NAME
#Format;LOG
#Date;01/01/2000
#Version;01.002-02.430-03.730
#Serial No.;100329

#Mode;Unlimited
#Logging Interval[s];0.1
#Specified Logging Count;-----
#Specified Logging Time[s];-----

#Start Time;00:01:39
#Stop Time;00:09:00

#Actual Count;4419

URMS[V];IRMS[A];P[W];FPLL[Hz];URange[V];IRange[A];S[VA];Q[var];LAMBDA[];UTHD[%];Timestamp;Time
237.59;0.738;9.54E+01;49.96;300;20;1.75E+02;1.47E+02;0.544;1.72;01:39.0;0
237.62;0.751;9.71E+01;49.961;300;20;1.79E+02;1.50E+02;0.544;1.74;01:39.1;0.1
237.63;0.734;9.48E+01;49.96;300;20;1.74E+02;1.46E+02;0.544;1.73;01:39.2;0.2
237.62;0.747;9.64E+01;49.962;300;20;1.78E+02;1.49E+02;0.543;1.75;01:39.3;0.3
237.65;0.736;9.50E+01;49.962;300;20;1.75E+02;1.47E+02;0.543;1.74;01:39.4;0.4
237.61;0.737;9.51E+01;49.963;300;20;1.75E+02;1.47E+02;0.543;1.73;01:39.5;0.5
237.58;0.74;9.57E+01;49.963;300;20;1.76E+02;1.48E+02;0.544;1.73;01:39.6;0.6
237.58;0.751;9.66E+01;49.963;300;20;1.78E+02;1.50E+02;0.542;1.73;01:39.7;0.7
237.61;0.727;9.37E+01;49.962;300;20;1.73E+02;1.45E+02;0.543;1.73;01:39.8;0.8
237.59;0.747;9.62E+01;49.962;300;20;1.77E+02;1.49E+02;0.542;1.73;01:39.9;0.9
237.58;0.743;9.59E+01;49.961;300;20;1.77E+02;1.48E+02;0.543;1.74;01:40.0;1
237.59;0.741;9.54E+01;49.962;300;20;1.76E+02;1.48E+02;0.542;1.73;01:40.1;1.1
237.57;0.744;9.60E+01;49.962;300;20;1.77E+02;1.48E+02;0.543;1.7;01:40.2;1.2
237.55;0.723;9.33E+01;49.961;300;20;1.72E+02;1.44E+02;0.543;1.71;01:40.3;1.3
237.59;0.759;9.80E+01;49.962;300;20;1.80E+02;1.52E+02;0.543;1.71;01:40.4;1.4
237.56;0.738;9.52E+01;49.962;300;20;1.75E+02;1.47E+02;0.543;1.71;01:40.5;1.5
237.58;0.749;9.69E+01;49.961;300;20;1.78E+02;1.49E+02;0.544;1.72;01:40.6;1.6
237.59;0.734;9.48E+01;49.962;300;20;1.74E+02;1.46E+02;0.544;1.72;01:40.7;1.7
237.59;0.745;9.63E+01;49.962;300;20;1.77E+02;1.49E+02;0.544;1.71;01:40.8;1.8
237.6;0.726;9.39E+01;49.963;300;20;1.73E+02;1.45E+02;0.544;1.72;01:40.9;1.9
237.59;0.739;9.55E+01;49.963;300;20;1.76E+02;1.47E+02;0.544;1.73;01:41.0;2
237.57;0.728;9.41E+01;49.961;300;20;1.73E+02;1.45E+02;0.544;1.74;01:41.1;2.1
237.55;0.74;9.56E+01;49.962;300;20;1.76E+02;1.47E+02;0.544;1.74;01:41.2;2.2
237.57;0.735;9.49E+01;49.961;300;20;1.75E+02;1.47E+02;0.544;1.75;01:41.3;2.3
237.56;0.741;9.56E+01;49.961;300;20;1.76E+02;1.48E+02;0.543;1.72;01:41.4;2.4
237.59;0.746;9.64E+01;49.959;300;20;1.77E+02;1.49E+02;0.544;1.74;01:41.5;2.5
237.56;0.733;9.45E+01;49.959;300;20;1.74E+02;1.46E+02;0.543;1.73;01:41.6;2.6
237.49;0.734;9.46E+01;49.959;300;20;1.74E+02;1.46E+02;0.543;1.74;01:41.7;2.7
237.57;0.743;9.60E+01;49.958;300;20;1.76E+02;1.48E+02;0.544;1.73;01:41.8;2.8
237.58;0.749;9.68E+01;49.958;300;20;1.78E+02;1.49E+02;0.544;1.72;01:41.9;2.9
237.57;0.737;9.51E+01;49.958;300;20;1.75E+02;1.47E+02;0.544;1.73;01:42.0;3
237.56;0.736;9.50E+01;49.958;300;20;1.75E+02;1.47E+02;0.543;1.75;01:42.1;3.1
237.58;0.738;9.54E+01;49.959;300;20;1.75E+02;1.47E+02;0.544;1.73;01:42.2;3.2
237.5;0.728;9.39E+01;49.96;300;20;1.73E+02;1.45E+02;0.543;1.74;01:42.3;3.3
237.53;0.752;9.72E+01;49.958;300;20;1.79E+02;1.50E+02;0.544;1.72;01:42.4;3.4
237.51;0.729;9.42E+01;49.96;300;20;1.73E+02;1.45E+02;0.544;1.74;01:42.5;3.5
237.47;0.736;9.53E+01;49.959;300;20;1.75E+02;1.47E+02;0.545;1.73;01:42.6;3.6
237.5;0.741;9.59E+01;49.959;300;20;1.76E+02;1.48E+02;0.545;1.73;01:42.7;3.7
237.48;0.741;9.58E+01;49.96;300;20;1.76E+02;1.48E+02;0.544;1.75;01:42.8;3.8
237.48;0.731;9.47E+01;49.96;300;20;1.74E+02;1.46E+02;0.545;1.76;01:42.9;3.9
237.48;0.744;9.61E+01;49.96;300;20;1.77E+02;1.48E+02;0.544;1.74;01:43.0;4
237.49;0.742;9.57E+01;49.959;300;20;1.76E+02;1.48E+02;0.543;1.74;01:43.1;4.1
237.48;0.741;9.55E+01;49.957;300;20;1.76E+02;1.48E+02;0.543;1.75;01:43.2;4.2
237.5;0.739;9.54E+01;49.957;300;20;1.75E+02;1.47E+02;0.544;1.74;01:43.3;4.3
237.53;0.746;9.63E+01;49.96;300;20;1.77E+02;1.49E+02;0.543;1.76;01:43.4;4.4
237.52;0.737;9.51E+01;49.959;300;20;1.75E+02;1.47E+02;0.543;1.74;01:43.5;4.5
237.47;0.736;9.48E+01;49.96;300;20;1.75E+02;1.47E+02;0.542;1.73;01:43.6;4.6
237.53;0.756;9.76E+01;49.959;300;20;1.80E+02;1.51E+02;0.543;1.74;01:43.7;4.7
237.52;0.747;9.63E+01;49.959;300;20;1.77E+02;1.49E+02;0.543;1.75;01:43.8;4.8
237.57;0.745;9.61E+01;49.959;300;20;1.77E+02;1.49E+02;0.543;1.75;01:43.9;4.9
237.52;0.734;9.47E+01;49.959;300;20;1.74E+02;1.46E+02;0.543;1.75;01:44.0;5
237.52;0.748;9.65E+01;49.96;300;20;1.78E+02;1.49E+02;0.543;1.74;01:44.1;5.1
237.53;0.745;9.61E+01;49.961;300;20;1.77E+02;1.49E+02;0.543;1.76;01:44.2;5.2
237.5;0.739;9.53E+01;49.96;300;20;1.76E+02;1.47E+02;0.543;1.76;01:44.3;5.3
237.51;0.734;9.49E+01;49.959;300;20;1.74E+02;1.46E+02;0.544;1.76;01:44.4;5.4
237.5;0.738;9.53E+01;49.958;300;20;1.75E+02;1.47E+02;0.544;1.76;01:44.5;5.5
237.53;0.741;9.58E+01;49.958;300;20;1.76E+02;1.48E+02;0.544;1.76;01:44.6;5.6
237.53;0.742;9.59E+01;49.958;300;20;1.76E+02;1.48E+02;0.544;1.76;01:44.7;5.7
237.53;0.736;9.52E+01;49.957;300;20;1.75E+02;1.47E+02;0.544;1.77;01:44.8;5.8
237.56;0.746;9.64E+01;49.955;300;20;1.77E+02;1.49E+02;0.544;1.76;01:44.9;5.9
237.53;0.732;9.47E+01;49.954;300;20;1.74E+02;1.46E+02;0.544;1.76;01:45.0;6
237.55;0.746;9.62E+01;49.954;300;20;1.77E+02;1.49E+02;0.543;1.76;01:45.1;6.1
