#Device;NPA101
#Device Name;NO NAME
#Format;LOG
#Date;2000-01-01
#Version;01.002-02.430-03.730
#Serial No.;000100329

#Mode;Unlimited
#Logging Interval[s];0.100
#Specified Logging Count;-----
#Specified Logging Time[s];-----

#Start Time;00:37:39
#Stop Time;00:45:15

#Actual Count;4562        

URMS[V];IRMS[A];P[W];FPLL[Hz];URange[V];IRange[A];S[VA];Q[var];LAMBDA[];UTHD[%];Timestamp
237.79;0.760;0.0979E+03;50.030;300;20;0.1808E+03;0.1520E+03;0.541;1.78;00:37:39.000
237.80;0.751;0.0964E+03;50.031;300;20;0.1785E+03;0.1502E+03;0.540;1.74;00:37:39.100
237.78;0.749;0.0962E+03;50.031;300;20;0.1780E+03;0.1498E+03;0.540;1.80;00:37:39.200
237.78;0.751;0.0967E+03;50.030;300;20;0.1787E+03;0.1503E+03;0.541;1.76;00:37:39.300
237.78;0.760;0.0976E+03;50.030;300;20;0.1807E+03;0.1522E+03;0.540;1.79;00:37:39.400
237.79;0.752;0.0965E+03;50.030;300;20;0.1788E+03;0.1505E+03;0.540;1.75;00:37:39.500
237.82;0.756;0.0968E+03;50.031;300;20;0.1797E+03;0.1514E+03;0.539;1.74;00:37:39.600
237.81;0.750;0.0962E+03;50.030;300;20;0.1782E+03;0.1501E+03;0.540;1.76;00:37:39.700
237.86;0.761;0.0975E+03;50.031;300;20;0.1811E+03;0.1526E+03;0.539;1.76;00:37:39.800
237.83;0.742;0.0951E+03;50.031;300;20;0.1764E+03;0.1486E+03;0.539;1.80;00:37:39.900
237.83;0.753;0.0966E+03;50.032;300;20;0.1792E+03;0.1509E+03;0.539;1.76;00:37:40.000
237.81;0.751;0.0963E+03;50.032;300;20;0.1786E+03;0.1504E+03;0.539;1.79;00:37:40.100
237.82;0.762;0.0977E+03;50.032;300;20;0.1812E+03;0.1526E+03;0.539;1.77;00:37:40.200
237.81;0.750;0.0960E+03;50.033;300;20;0.1783E+03;0.1502E+03;0.539;1.74;00:37:40.300
237.75;0.743;0.0953E+03;50.035;300;20;0.1766E+03;0.1487E+03;0.540;1.80;00:37:40.400
237.84;0.770;0.0990E+03;50.035;300;20;0.1832E+03;0.1541E+03;0.540;1.75;00:37:40.500
