#Device;NPA101
#Device Name;NO NAME
#Format;LOG
#Date;2000-01-01
#Version;01.002-02.430-03.730
#Serial No.;000100329
#Mode;Unlimited
#Logging Interval[s];0.100
#Specified Logging Count;-----
#Specified Logging Time[s];-----
#Start Time;00:10:04
#Stop Time;00:17:14
#Actual Count;4308        
URMS[V];IRMS[A];P[W];FPLL[Hz];URange[V];IRange[A];S[VA];Q[var];LAMBDA[];UTHD[%];Timestamp
236.61;0.793;0.1003E+03;50.068;300;20;0.1876E+03;0.1586E+03;0.534;1.79;00:10:04.000
236.62;0.750;0.0947E+03;50.068;300;20;0.1774E+03;0.1500E+03;0.534;1.76;00:10:04.100
236.60;0.759;0.0959E+03;50.068;300;20;0.1796E+03;0.1519E+03;0.534;1.77;00:10:04.200
236.58;0.749;0.0946E+03;50.069;300;20;0.1773E+03;0.1499E+03;0.534;1.78;00:10:04.300
236.59;0.757;0.0955E+03;50.070;300;20;0.1792E+03;0.1516E+03;0.533;1.78;00:10:04.400
236.61;0.767;0.0969E+03;50.070;300;20;0.1814E+03;0.1534E+03;0.534;1.81;00:10:04.500
236.57;0.753;0.0948E+03;50.071;300;20;0.1780E+03;0.1507E+03;0.532;1.79;00:10:04.600
236.57;0.747;0.0943E+03;50.073;300;20;0.1766E+03;0.1494E+03;0.534;1.79;00:10:04.700
236.54;0.754;0.0951E+03;50.073;300;20;0.1783E+03;0.1508E+03;0.533;1.78;00:10:04.800
236.60;0.776;0.0980E+03;50.074;300;20;0.1837E+03;0.1553E+03;0.533;1.78;00:10:04.900
236.62;0.749;0.0948E+03;50.074;300;20;0.1773E+03;0.1499E+03;0.534;1.79;00:10:05.000
236.61;0.768;0.0971E+03;50.075;300;20;0.1817E+03;0.1536E+03;0.534;1.80;00:10:05.100
236.62;0.748;0.0946E+03;50.074;300;20;0.1771E+03;0.1497E+03;0.534;1.78;00:10:05.200
236.59;0.759;0.0957E+03;50.074;300;20;0.1796E+03;0.1519E+03;0.533;1.78;00:10:05.300
236.60;0.757;0.0957E+03;50.073;300;20;0.1790E+03;0.1513E+03;0.535;1.80;00:10:05.400
236.56;0.765;0.0966E+03;50.073;300;20;0.1811E+03;0.1531E+03;0.534;1.79;00:10:05.500
236.59;0.748;0.0947E+03;50.071;300;20;0.1771E+03;0.1496E+03;0.535;1.82;00:10:05.600
236.59;0.754;0.0953E+03;50.070;300;20;0.1784E+03;0.1509E+03;0.534;1.80;00:10:05.700
236.59;0.772;0.0976E+03;50.071;300;20;0.1827E+03;0.1544E+03;0.534;1.80;00:10:05.800
236.49;0.741;0.0933E+03;50.071;300;20;0.1751E+03;0.1482E+03;0.533;1.79;00:10:05.900
236.63;0.785;0.0996E+03;50.071;300;20;0.1857E+03;0.1567E+03;0.536;1.79;00:10:06.000
236.63;0.752;0.0951E+03;50.071;300;20;0.1780E+03;0.1505E+03;0.534;1.80;00:10:06.100
236.60;0.765;0.0967E+03;50.071;300;20;0.1811E+03;0.1531E+03;0.534;1.77;00:10:06.200
236.61;0.762;0.0962E+03;50.071;300;20;0.1804E+03;0.1526E+03;0.533;1.77;00:10:06.300
236.58;0.762;0.0963E+03;50.071;300;20;0.1804E+03;0.1525E+03;0.534;1.80;00:10:06.400
236.56;0.754;0.0951E+03;50.072;300;20;0.1783E+03;0.1507E+03;0.534;1.79;00:10:06.500
236.55;0.761;0.0959E+03;50.073;300;20;0.1801E+03;0.1524E+03;0.532;1.80;00:10:06.600
236.56;0.751;0.0947E+03;50.073;300;20;0.1776E+03;0.1502E+03;0.534;1.78;00:10:06.700
236.58;0.772;0.0974E+03;50.072;300;20;0.1825E+03;0.1544E+03;0.533;1.77;00:10:06.800
236.58;0.749;0.0946E+03;50.072;300;20;0.1772E+03;0.1498E+03;0.534;1.79;00:10:06.900
236.56;0.756;0.0954E+03;50.071;300;20;0.1788E+03;0.1512E+03;0.534;1.79;00:10:07.000
236.66;0.759;0.0960E+03;50.072;300;20;0.1796E+03;0.1518E+03;0.534;1.77;00:10:07.100
236.62;0.756;0.0954E+03;50.073;300;20;0.1788E+03;0.1512E+03;0.534;1.75;00:10:07.200
236.65;0.765;0.0968E+03;50.073;300;20;0.1810E+03;0.1530E+03;0.535;1.76;00:10:07.300
236.65;0.757;0.0957E+03;50.071;300;20;0.1793E+03;0.1516E+03;0.534;1.77;00:10:07.400
236.63;0.762;0.0962E+03;50.070;300;20;0.1803E+03;0.1525E+03;0.534;1.79;00:10:07.500
236.65;0.760;0.0958E+03;50.071;300;20;0.1799E+03;0.1522E+03;0.533;1.77;00:10:07.600
236.64;0.764;0.0965E+03;50.071;300;20;0.1809E+03;0.1530E+03;0.534;1.76;00:10:07.700
236.63;0.745;0.0943E+03;50.072;300;20;0.1763E+03;0.1490E+03;0.535;1.77;00:10:07.800
236.60;0.751;0.0948E+03;50.073;300;20;0.1777E+03;0.1503E+03;0.533;1.79;00:10:07.900
236.66;0.764;0.0968E+03;50.074;300;20;0.1809E+03;0.1528E+03;0.535;1.78;00:10:08.000
236.67;0.763;0.0963E+03;50.073;300;20;0.1805E+03;0.1527E+03;0.533;1.78;00:10:08.100
236.65;0.760;0.0960E+03;50.073;300;20;0.1797E+03;0.1520E+03;0.534;1.77;00:10:08.200
236.64;0.818;0.1031E+03;50.073;300;20;0.1935E+03;0.1638E+03;0.533;1.78;00:10:08.300
236.62;0.830;0.1046E+03;50.075;300;20;0.1964E+03;0.1663E+03;0.532;1.78;00:10:08.400
236.62;0.876;0.1101E+03;50.076;300;20;0.2072E+03;0.1756E+03;0.531;1.79;00:10:08.500
236.58;0.903;0.1134E+03;50.075;300;20;0.2137E+03;0.1811E+03;0.531;1.77;00:10:08.600
236.54;0.955;0.1200E+03;50.074;300;20;0.2258E+03;0.1913E+03;0.531;1.79;00:10:08.700
236.56;0.963;0.1211E+03;50.074;300;20;0.2278E+03;0.1930E+03;0.531;1.78;00:10:08.800
236.54;0.948;0.1190E+03;50.072;300;20;0.2242E+03;0.1899E+03;0.531;1.77;00:10:08.900
236.53;0.968;0.1218E+03;50.072;300;20;0.2291E+03;0.1940E+03;0.532;1.77;00:10:09.000
236.52;0.940;0.1180E+03;50.072;300;20;0.2224E+03;0.1885E+03;0.531;1.77;00:10:09.100
236.53;0.972;0.1222E+03;50.072;300;20;0.2299E+03;0.1947E+03;0.531;1.79;00:10:09.200
236.54;0.945;0.1189E+03;50.071;300;20;0.2235E+03;0.1893E+03;0.532;1.77;00:10:09.300
236.51;0.966;0.1214E+03;50.070;300;20;0.2285E+03;0.1936E+03;0.531;1.77;00:10:09.400
236.51;0.948;0.1193E+03;50.070;300;20;0.2242E+03;0.1898E+03;0.532;1.77;00:10:09.500
236.52;0.958;0.1206E+03;50.070;300;20;0.2265E+03;0.1918E+03;0.532;1.79;00:10:09.600
236.54;0.953;0.1203E+03;50.070;300;20;0.2255E+03;0.1907E+03;0.534;1.77;00:10:09.700
236.54;0.965;0.1215E+03;50.070;300;20;0.2283E+03;0.1933E+03;0.532;1.78;00:10:09.800
236.43;0.932;0.1172E+03;50.071;300;20;0.2205E+03;0.1867E+03;0.532;1.78;00:10:09.900
236.53;0.980;0.1233E+03;50.070;300;20;0.2317E+03;0.1962E+03;0.532;1.78;00:10:10.000
236.49;0.968;0.1217E+03;50.069;300;20;0.2289E+03;0.1938E+03;0.532;1.78;00:10:10.100
236.50;0.961;0.1207E+03;50.068;300;20;0.2272E+03;0.1925E+03;0.531;1.79;00:10:10.200
236.49;0.949;0.1193E+03;50.069;300;20;0.2245E+03;0.1902E+03;0.532;1.79;00:10:10.300
236.49;0.960;0.1206E+03;50.067;300;20;0.2270E+03;0.1923E+03;0.531;1.80;00:10:10.400
236.50;0.968;0.1217E+03;50.068;300;20;0.2290E+03;0.1940E+03;0.531;1.77;00:10:10.500
236.47;0.954;0.1201E+03;50.068;300;20;0.2257E+03;0.1911E+03;0.532;1.80;00:10:10.600
236.49;0.965;0.1212E+03;50.068;300;20;0.2282E+03;0.1934E+03;0.531;1.77;00:10:10.700
236.50;0.955;0.1199E+03;50.068;300;20;0.2258E+03;0.1914E+03;0.531;1.80;00:10:10.800
236.50;0.969;0.1218E+03;50.068;300;20;0.2292E+03;0.1942E+03;0.531;1.78;00:10:10.900
236.51;0.956;0.1202E+03;50.067;300;20;0.2262E+03;0.1916E+03;0.531;1.77;00:10:11.000
236.46;0.956;0.1201E+03;50.069;300;20;0.2260E+03;0.1915E+03;0.531;1.78;00:10:11.100
236.50;0.970;0.1220E+03;50.069;300;20;0.2293E+03;0.1942E+03;0.532;1.79;00:10:11.200
236.50;0.958;0.1204E+03;50.068;300;20;0.2266E+03;0.1920E+03;0.531;1.76;00:10:11.300
236.50;0.960;0.1208E+03;50.070;300;20;0.2269E+03;0.1921E+03;0.532;1.77;00:10:11.400
236.44;0.954;0.1198E+03;50.070;300;20;0.2256E+03;0.1912E+03;0.531;1.76;00:10:11.500
236.47;0.971;0.1221E+03;50.071;300;20;0.2296E+03;0.1944E+03;0.532;1.79;00:10:11.600
236.53;0.964;0.1214E+03;50.071;300;20;0.2281E+03;0.1931E+03;0.532;1.77;00:10:11.700
